video_id,title,description,uploader,upload_date,view_count,like_count,comment_count,Link
GX-aKctcuX4,Pemerintah Resmi Potong Dana Transfer ke Daerah 50%,"Menteri Keuangan Sri Mulyani Indrawati resmi memangkas alokasi transfer ke daerah melalui Keputusan Menteri Keuangan (KMK) nomor 29 tahun 2025. Kebijakan ini sesuai instruksi presiden untuk efisiensi belanja APBN dan APBD tahun 2025.

Selengkapnya dalam program Evening Up CNBC Indonesia, Selasa (04/02/2025).

Terus ikuti berita ekonomi bisnis dan analisis mendalam hanya di https://www.cnbcindonesia.com/. 

CNBC Indonesia terafiliasi dengan CNBC Internasional dan beroperasi di bawah grup Transmedia dan tergabung bersama Trans TV, Trans7, Detikcom, Transvision, CNN Indonesia dan CNN Indonesia.com.

CNBC Indonesia dapat dinikmati melalui tayangan Transvision channel 805 atau streaming melalui aplikasi CNBC Indonesia yang dapat di download di playstore atau iOS. 

Follow us on social: 
Twitter: https://twitter.com/cnbcindonesia
Facebook Page: https://www.facebook.com/CNBCIndonesia/
Instagram: https://www.instagram.com/cnbcindonesia/ 
https://www.instagram.com/cuap_cuan/
Tiktok: https://bit.ly/38BYtJx
Spotify: https://spoti.fi/2BR7KkT",CNBC Indonesia,2025-02-04T14:00:16Z,76649,601,736,https://www.youtube.com/watch?v=GX-aKctcuX4  
41RGl7dq8YQ,"[FULL] Penjelasan Wamen Diktisaintek Soal Efisiensi Anggaran Pendidikan, Pastikan Hal ini","KOMPAS.TV - Demonstrasi mahasiswa serempak digelar di Jakarta dan penjuru tanah air. Di Jakarta, ribuan mahasiswa dari BEM SI menggelar aksi bertajuk Indonesia Gelap di kawasan Patung Kuda Monas.



Mahasiswa mengkritik kebijakan pemerintah soal efisiensi anggaran dan khawatir pemotongan anggaran akan berdampak naiknya uang kuliah.



Benarkah biaya kuliah akan terdampak dari efisiensi anggaran di Kemdikti Sainstek?



Untuk membahasnya lebih lanjut, sudah bergabung dengan kami di studio Wakil Menteri Pendidikan Tinggi, Sains, dan Teknologi, Stella Christie.



Baca Juga Aksi Indonesia Gelap, Mahasiswa di Berbagai Daerah Tolak Pemangkasan Anggaran Pendidikan di https://www.kompas.tv/nasional/574844/aksi-indonesia-gelap-mahasiswa-di-berbagai-daerah-tolak-pemangkasan-anggaran-pendidikan



#efisiensianggaran #pemangkasananggaran #pendidikan #beasiswa #kemdiktisaintek 



Artikel ini bisa dilihat di :  https://www.kompas.tv/nasional/574848/full-penjelasan-wamen-diktisaintek-soal-efisiensi-anggaran-pendidikan-pastikan-hal-ini",KOMPASTV,2025-02-18T18:01:01Z,108928,842,749,https://www.youtube.com/watch?v=41RGl7dq8YQ  
YD3HC6Qaa3o,Menyoroti Kebijakan Pemotongan Anggaran Pemerintah,"Pemotongan anggaran sebesar Rp306,7 triliun atau sekitar 8 persen dari total belanja pemerintah tahun 2025, dilakukan karena akan dialihkan ke berbagai program yang dirasa lebih berguna bagi masyarakat. Salah satunya makan bergizi gratis. Bagaimana melihat kebijakan ini? Apa dampaknya terhadap program prioritas lainnya? Apakah keputusan pos-pos yang dipotong sudah tepat? Anchor Syaza Wisastro membahasnya bersama Sekretaris Jenderal Forum Indonesia Untuk Transparansi Anggaran (FITRA), Misbah Hasan dalam CNN Indonesia Prime News. 

Website: www.cnnindonesia.com
Facebook: https://m.facebook.com/CNNIndonesia/
Instagram: https://instagram.com/cnnindonesiatv
Twitter: https://twitter.com/cnniddaily
TikTok: https://www.tiktok.com/@cnnindonesia
Spotify: CNN Indonesia",CNN Indonesia,2025-02-01T16:30:14Z,48159,217,121,https://www.youtube.com/watch?v=YD3HC6Qaa3o  
dPkXZ3Daxh0,Kongkalikong DPR-Pemerintah Memotong Anggaran | Jelasin Dong! X BAP,"Laporan jurnalistik berkualitas dan enak dibaca. Untuk berlangganan Tempo, klik di sini:
https://s.id/tempoaja

Baca Tempo edisi terbaru:
https://www.tempo.co/mingguan

Majalah versi cetak di sini:
https://linktr.ee/berlangganantempo

TEMPO.CO - Pemerintah dan DPR bersepakat memotong anggaran berbagai kementerian. Di tengah keterbatasan fiskal, pemerintah justru menambah anggaran untuk program prioritas Presiden Prabowo dan Jokowi, seperti Makan Bergizi Gratis dan IKN. Ada operasi Istana ke DPR untuk mempertahankan anggaran di sejumlah lembaga yang dipimpin teman-teman presiden, seperti Kementerian Pertahanan.

Official Website: https://www.tempo.co

Dukung Channel YouTube TEMPO dengan join membership Pendukung TEMPO.

Klik: https://www.youtube.com/channel/UC3QRoNY-nYDTNSv-1dR0P-g/join",Tempodotco,2025-02-08T04:00:06Z,1621804,18947,3985,https://www.youtube.com/watch?v=dPkXZ3Daxh0  
E2gCGe1SzIs,"Anggaran Dipangkas, Operasional Kementerian/Lembaga Terganggu?","Pemerintah melakukan pemotongan besar besaran terhadap anggaran kementerian dan lembaga. Muncul kekhawatiran operasional kementerian dan lembaga akan terganggu, belum lagi pelayanan publik yang semakin tersendat. Si sisi lain, anggaran DPR dan kementerian pertahanan justru aman dari potongan.
Berikut pembahasannya dengan Juru Bicara Partai Gerindra Wihadi Wiyanto dan Pakar Kebijakan Publik Trubus Rahadiansyah


Website: www.cnnindonesia.com
Facebook: https://m.facebook.com/CNNIndonesia/
Instagram: https://instagram.com/cnnindonesiatv
Twitter: https://twitter.com/cnniddaily
TikTok: https://www.tiktok.com/@cnnindonesia
Spotify: CNN Indonesia",CNN Indonesia,2025-02-05T13:00:24Z,66476,364,500,https://www.youtube.com/watch?v=E2gCGe1SzIs  
HBqmJdX0yEc,"Prabowo Pangkas Anggaran Hingga Rp 306 T, Buat Apa?","Efisiensi anggaran yang dilakukan oleh pemerintah apakah dapat mengurangi beban fiskal? Heranof Al Basyir melalui sambungan daring membahasnya bersama Direktur CELIOS, Bhima Yudhistira dan Anggota Komisi XI DPR RI, Fathi
 
Website: www.cnnindonesia.com
Facebook: https://m.facebook.com/CNNIndonesia/
Instagram: https://instagram.com/cnnindonesiatv
Twitter: https://twitter.com/cnniddaily
TikTok: https://www.tiktok.com/@cnnindonesia
Spotify: CNN Indonesia",CNN Indonesia,2025-01-28T13:10:58Z,48387,251,102,https://www.youtube.com/watch?v=HBqmJdX0yEc  
GpgqauHLi1E,"Efisiensi Anggaran, Menhan Rekrut Stafsus Baru Begini Penjelasan Jubir Presiden | SATU MEJA","JAKARTA, KOMPAS.TV – Pada 11 Februari 2025, Menteri Pertahanan Sjafrie Sjamsoeddin melantik beberapa staf khusus baru, termasuk Deddy Corbuzier, seorang artis dan presenter terkenal di Indonesia. 

Selain Deddy, Mayjen TNI (Purn) Sudrajat juga dilantik sebagai Staf Khusus Menhan Bidang Diplomasi Pertahanan, bersama dengan beberapa tokoh lainnya. Pengangkatan ini menuai perhatian publik, terutama karena dilakukan di tengah upaya efisiensi anggaran pemerintah.

Sinyal membingungkan di masyarakat karena adanya efisiensi namun Kemenhan melantik sejumlah stafsus. Menyoroti hal tersebut juru bicara kantor komunikasi kepresidenan menjelaskan pada saat pembentukan kabinet, dibilang ini kabinet yang gemuk. Namun dirinya menyebut kabinet inilah yang terfokus.

“Banyak orang memprediksi dengan kabinet gemuk, anggaran akan meningkat, justru saat ini kita melakukan efisiensi anggaran,” ujar Prita Laura dalam program SATU MEJA, Rabu (12/2/2025).

Produser: Leiza Sixmansyah
Video Editor: Noval

#efisiensi #anggaran #prabowo #presidenprabowo",KOMPASTV,2025-02-12T14:54:35Z,107250,512,898,https://www.youtube.com/watch?v=GpgqauHLi1E  
xxAj_sC2fNI,"[FULL] Kulik Maksud Prabowo Ada 'Raja Kecil' Lawan Efisiensi Anggaran, Siapa? | EFISIENSI ANGGARAN","JAKARTA, KOMPAS.TV - Demi efisiensi anggaran, Presiden Prabowo meminta para pejabat tidak sering bepergian ke luar negeri, kecuali untuk tugas penting negara.



Ia menegaskan bahwa dirinya dinas ke luar negeri karena diundang sebagai kepala negara.



Sebagai salah satu lembaga yang terdampak pemangkasan anggaran, Ketua Komisi Yudisial, Amzulian Rifai, menyebut anggaran gaji pegawai hanya cukup hingga Oktober 2025.



Dari pagu anggaran KY tahun ini sebesar Rp186 miliar, terjadi pemotongan hingga 54 persen, yang berdampak pada biaya operasional.



Lalu, bagaimana pemerintahan Presiden Prabowo menerapkan prioritas dalam efisiensi anggaran? Simak pembahasannya bersama Wakil Ketua Umum Golkar, Ahmad Doli Kurnia, dan Direktur Eksekutif Charta Politika, Yunarto Wijaya.



#anggaran #prabowosubianto #pemerintah



Baca Juga [FULL] Fakta Baru Usai Bareskrim Geledah Rumah Kades Kohod soal Pemalsuan Sertifikat Pagar Laut di https://www.kompas.tv/nasional/573195/full-fakta-baru-usai-bareskrim-geledah-rumah-kades-kohod-soal-pemalsuan-sertifikat-pagar-laut



Artikel ini bisa dilihat di :  https://www.kompas.tv/nasional/573199/full-kulik-maksud-presiden-prabowo-sebut-ada-raja-kecil-lawan-efisiensi-anggaran-siapa-dia",KOMPASTV,2025-02-11T14:17:32Z,108583,492,324,https://www.youtube.com/watch?v=xxAj_sC2fNI  
1ySbwgZoUZI,"15 Proyek Raksasa Prabowo, Efisiensi Anggaran untuk Proyek Ini? - [Metro Siang]","MetroTV, 
Menteri pekerjaan umum dody hanggodo menyebut presiden prabowo subianto menginstruksikan dirinya untuk melakukan studi banding ke 3 negara yakni mesir turki dan india guna mendesain ulang kompleks yudikatif dan legislatif di ibu kota nusantara. 
Nantinya pembangunan ikn akan menjadi tanggung jawab otorita ikn.



-----------------------------------------------------------------------

Follow juga sosmed kami untuk mendapatkan update informasi  terkini!


Website: https://www.metrotvnews.com/
Facebook: https://www.facebook.com/metrotv/
Instagram: https://www.instagram.com/metrotv/
Twitter: https://twitter.com/metro_tv
TikTok: https://www.tiktok.com/@metro_tv
Metro Xtend: https://xtend.metrotvnews.com/",METRO TV ,2025-02-16T05:46:00Z,502561,3310,1524,https://www.youtube.com/watch?v=1ySbwgZoUZI  
